ClienteID,Edad,Genero,Pais,Suscripcion_Meses,Plan,Horas_Semanales_Uso,Satisfaccion,Soporte_Contactos,Promocion_Usada,GastoMensual,Renuncia
43,49.0,Masculino,Chile,8,Básico,12.9,3,2,No,14150.0,0
44,22.0,Femenino,Argentina,9,Estándar,10.5,4,2,No,18960.0,0
45,32.0,Masculino,México,11,Estándar,17.2,2,5,No,25280.0,0
46,25.0,Masculino,Perú,23,Estándar,14.4,4,3,No,19660.0,0
47,23.0,,Perú,32,Premium,17.9,4,5,Sí,32630.000000000004,0
48,62.0,Femenino,Argentina,42,Estándar,6.2,,2,No,20340.0,0
49,10.0,Femenino,Perú,42,Básico,9.2,4,2,No,10170.0,0
50,36.0,Masculino,México,53,Básico,15.9,2,1,No,11420.0,0
51,31.0,Masculino,México,40,Estándar,9.4,3,1,Sí,17090.0,0
52,24.0,Masculino,España,57,Estándar,9.9,3,2,No,19270.0,0
53,12.0,Masculino,México,25,Premium,12.0,3,0,No,25780.0,0
54,36.0,Femenino,Perú,2,Premium,8.6,1,2,No,29690.0,0
55,42.0,Masculino,España,45,Premium,11.2,4,1,Sí,21200.0,0
56,43.0,Masculino,México,19,Básico,9.1,,1,No,13810.0,0
57,19.0,Femenino,España,23,Premium,5.2,3,3,No,37100.0,0
58,30.0,Masculino,Argentina,12,Premium,4.4,4,3,No,28160.0,0
59,61.0,Masculino,España,50,Básico,17.2,4,1,No,5630.0,0
60,18.0,Masculino,España,34,Básico,2.7,1,3,No,7940.0,0
61,30.0,Femenino,España,20,Premium,-2.9,3,1,Sí,27750.0,0
62,47.0,Femenino,México,48,Estándar,-0.3,3,3,No,21830.0,0
63,35.0,Femenino,Perú,59,Estándar,11.0,1,4,Sí,18240.0,0
64,45.0,Masculino,España,32,Estándar,12.1,4,4,No,18610.0,0
65,37.0,Femenino,Perú,45,Premium,13.9,3,2,No,30300.0,0
66,34.0,Femenino,México,26,Básico,9.1,2,1,No,5160.0,1
67,25.0,Masculino,Argentina,11,Básico,4.4,3,1,No,9370.0,0
68,32.0,Femenino,Perú,2,Estándar,0.9,4,2,No,18790.0,0
69,39.0,Otro,Argentina,34,Premium,9.2,5,1,No,30800.0,0
70,43.0,Femenino,Argentina,36,Básico,8.8,4,0,Sí,11270.0,1
71,24.0,Masculino,España,48,Básico,11.7,3,3,No,10330.0,0
72,31.0,Masculino,Argentina,37,Básico,5.6,3,4,No,16710.0,0
73,23.0,Masculino,Argentina,15,Estándar,6.0,2,0,Sí,22190.0,0
74,44.0,Masculino,España,22,Básico,13.9,4,0,No,8260.0,1
75,37.0,Masculino,Chile,9,Estándar,14.5,2,3,No,26200.0,0
76,29.0,Femenino,España,32,Estándar,8.5,3,3,No,14700.0,0
77,38.0,Femenino,México,17,Estándar,10.1,3,2,Sí,20630.0,0
78,51.0,Masculino,Chile,55,Básico,6.8,3,3,No,11980.0,0
79,50.0,Masculino,Perú,35,Básico,11.3,4,0,No,12990.0,0
80,40.0,Femenino,Chile,46,Premium,8.4,1,0,No,32030.0,0
81,-0.0,Masculino,Chile,51,Básico,13.5,2,1,Sí,8370.0,1
82,37.0,Femenino,España,39,Estándar,9.2,5,1,No,19700.0,0
83,35.0,Femenino,Perú,4,Básico,17.2,5,1,No,19730.0,1
84,43.0,Masculino,Argentina,34,Premium,13.4,2,3,Sí,29790.0,0
85,30.0,Masculino,Chile,4,Estándar,8.1,,5,Sí,15210.0,0
86,23.0,Masculino,Chile,48,Básico,14.0,3,4,No,10480.0,1
87,37.0,Femenino,México,22,Premium,7.7,3,2,Sí,29170.0,0
88,24.0,,Argentina,20,Premium,4.1,3,3,No,38180.0,0
89,37.0,,Argentina,6,Básico,3.3,3,3,Sí,14270.0,0
90,42.0,Femenino,Chile,13,Premium,9.7,4,2,Sí,28670.0,0
91,48.0,Femenino,Perú,35,Premium,3.8,4,3,Sí,29470.0,0
92,45.0,Femenino,México,33,Básico,8.1,,6,Sí,8029.999999999999,1
93,54.0,Femenino,México,19,Básico,6.1,3,4,No,9220.0,0
94,32.0,Masculino,Argentina,22,Estándar,9.9,2,4,No,19190.0,0
95,33.0,Masculino,Argentina,57,Básico,7.6,5,3,No,6150.0,0
96,12.0,Femenino,Perú,47,Estándar,16.6,1,2,Sí,22360.0,0
97,29.0,Femenino,España,8,Básico,10.6,5,0,No,10940.0,0
98,37.0,Femenino,España,4,Premium,1.2,4,2,No,24310.0,0
99,52.0,Masculino,Chile,25,Básico,4.7,,0,No,12310.0,0
100,38.0,Masculino,Chile,15,Estándar,11.8,3,1,No,21660.0,0
101,54.0,Femenino,Perú,20,Básico,15.3,3,0,No,11530.0,0
102,26.0,,México,58,Estándar,6.4,1,2,No,22970.0,0
103,19.0,Femenino,Perú,36,Estándar,13.9,1,1,Sí,20220.0,1
104,40.0,Masculino,Argentina,11,Estándar,12.5,4,1,No,18890.0,0
105,31.0,Femenino,Argentina,44,Básico,13.6,3,0,No,6990.0,1
106,34.0,Femenino,Chile,33,Estándar,9.1,4,5,Sí,18950.0,0
107,57.0,Femenino,Chile,23,Básico,6.4,1,4,Sí,9090.0,0
108,29.0,Masculino,Chile,23,Básico,7.7,3,6,No,8070.0,0
109,38.0,,Argentina,44,Básico,6.6,3,2,No,6730.0,1
110,46.0,Masculino,Chile,20,Estándar,10.6,5,5,Sí,17550.0,0
111,26.0,Otro,México,42,Estándar,9.7,,1,No,12850.0,0
112,23.0,Masculino,México,50,Estándar,5.5,,3,No,24830.0,0
113,37.0,Masculino,Argentina,9,Premium,14.7,2,1,No,28330.0,0
114,28.0,Masculino,España,14,Básico,3.3,1,3,Sí,8230.0,1
115,52.0,Femenino,Chile,44,Estándar,6.5,4,2,No,20030.0,0
116,42.0,Femenino,Chile,28,Estándar,12.2,4,0,Sí,24040.0,0
117,46.0,Masculino,Argentina,42,Básico,5.6,2,2,No,11080.0,0
118,46.0,Otro,Argentina,45,Premium,5.3,4,4,No,33490.0,0
119,37.0,Femenino,México,33,Básico,13.6,1,1,No,8540.0,0
120,32.0,Masculino,España,39,Estándar,6.3,5,5,No,25430.0,0
121,36.0,Femenino,Perú,28,Básico,9.1,3,1,No,8770.0,0
122,37.0,Femenino,Chile,4,Estándar,12.5,3,3,Sí,21570.0,0
123,28.0,Masculino,Chile,32,Básico,11.4,2,1,Sí,10990.0,0
124,37.0,Masculino,España,31,Estándar,3.7,1,3,No,17540.0,0
125,26.0,Femenino,España,42,Básico,5.4,3,1,No,9700.0,1
126,48.0,Masculino,Argentina,17,Estándar,5.6,2,4,No,18060.0,0
127,29.0,Femenino,Argentina,53,Básico,7.0,3,3,No,10850.0,1
128,43.0,Masculino,Chile,37,Estándar,9.1,5,0,No,21090.0,0
129,34.0,Masculino,Perú,20,Estándar,14.1,4,2,No,18430.0,0
130,32.0,Femenino,Chile,30,Básico,2.1,3,0,Sí,9530.0,1
131,36.0,Masculino,México,52,Estándar,5.9,4,2,No,23430.0,0
132,38.0,Masculino,Chile,21,Estándar,8.4,2,1,Sí,19680.0,0
133,25.0,Masculino,México,1,Estándar,9.1,4,3,Sí,14680.0,0
134,40.0,Femenino,Chile,15,Básico,3.3,2,1,No,9010.0,1
135,40.0,Masculino,Chile,6,Estándar,9.8,,0,No,17220.0,0
136,31.0,Masculino,México,48,Estándar,12.7,1,0,No,18650.0,0
137,39.0,Masculino,España,7,Premium,10.7,4,2,No,30170.0,0
138,41.0,Femenino,Perú,22,Estándar,10.6,4,4,Sí,25510.0,0
139,24.0,,Chile,20,Estándar,5.4,1,0,No,13370.0,0
140,27.0,Femenino,Perú,22,Básico,11.5,3,3,No,10900.0,0
141,21.0,Masculino,Chile,46,Básico,13.9,3,2,No,11980.0,0
142,28.0,Femenino,Perú,15,Estándar,13.6,4,1,No,13670.0,0
143,29.0,Masculino,México,22,Estándar,9.7,3,2,No,10620.0,0
144,33.0,Femenino,España,13,Básico,16.5,1,0,No,10700.0,0
145,29.0,Femenino,Perú,29,Estándar,9.8,3,1,Sí,10840.0,0
146,27.0,Otro,España,56,Estándar,6.3,1,1,Sí,19390.0,0
147,35.0,Femenino,México,59,Estándar,9.7,1,1,No,20870.0,0
148,26.0,Masculino,México,19,Básico,13.0,5,3,Sí,10360.0,1
149,36.0,Femenino,México,38,Estándar,9.0,4,4,Sí,23910.0,0
150,35.0,Femenino,Chile,35,Estándar,5.6,3,1,No,23700.0,0
151,42.0,Masculino,Chile,26,Estándar,14.9,5,4,Sí,20450.0,0
152,19.0,Femenino,Perú,12,Básico,11.1,4,2,Sí,8550.0,0
153,38.0,Femenino,Chile,24,Básico,10.0,4,6,No,7180.0,1
154,35.0,Femenino,España,53,Estándar,9.3,3,3,Sí,22370.0,0
155,36.0,Masculino,Perú,21,Premium,12.5,3,3,No,34170.0,0
156,47.0,Femenino,México,48,Estándar,7.0,4,2,No,22600.0,0
157,34.0,Masculino,Argentina,15,Premium,14.2,1,1,No,18830.0,0
158,27.0,Masculino,Chile,2,Estándar,13.0,5,1,No,20530.0,0
159,9.0,Femenino,Argentina,10,Estándar,8.5,3,3,Sí,18840.0,0
160,30.0,Femenino,Argentina,9,Premium,9.5,5,2,No,25430.0,0
161,43.0,Femenino,España,44,Premium,12.3,3,0,Sí,27280.0,0
162,29.0,Masculino,Perú,16,Básico,3.0,3,3,Sí,11020.0,0
163,27.0,Masculino,Chile,24,Premium,7.3,4,2,No,25000.0,0
164,33.0,Femenino,Perú,41,Básico,11.6,1,2,No,9250.0,0
165,34.0,Femenino,Perú,43,Estándar,7.8,1,4,No,12300.0,0
166,41.0,Femenino,Perú,43,Premium,10.9,4,6,No,35500.0,0
167,40.0,Masculino,Perú,39,Estándar,4.5,3,2,Sí,26080.0,0
168,49.0,Masculino,México,22,Básico,11.9,3,3,No,10610.0,0
169,36.0,Femenino,Chile,6,Estándar,14.5,4,6,No,21610.0,0
170,32.0,Femenino,Chile,7,Premium,5.8,4,2,No,27130.0,0
171,37.0,Femenino,España,12,Estándar,12.0,4,3,No,25680.0,0
172,31.0,Masculino,México,40,Estándar,19.4,4,2,No,19460.0,0
173,40.0,Masculino,España,7,Básico,15.0,5,4,No,11650.0,1
174,28.0,Femenino,Perú,30,Estándar,5.5,3,1,No,25350.0,0
175,39.0,Masculino,Chile,30,Premium,13.0,5,3,No,42550.0,0
176,32.0,Masculino,Perú,26,Básico,15.2,4,2,No,11830.0,1
177,36.0,Otro,Argentina,39,Premium,9.7,4,1,No,31240.0,0
178,50.0,Femenino,Perú,58,Básico,7.9,3,1,No,10650.0,0
179,33.0,Masculino,Argentina,12,Premium,11.4,3,5,No,23350.0,0
180,42.0,Masculino,Chile,48,Estándar,10.2,5,1,No,23800.0,0
181,38.0,Femenino,Chile,24,Estándar,15.7,2,3,Sí,18670.0,0
182,35.0,Femenino,México,32,Estándar,12.7,4,3,No,17740.0,0
183,17.0,Femenino,Perú,10,Premium,12.5,3,0,No,28790.0,0
184,28.0,Femenino,Perú,55,Básico,9.2,3,6,No,15290.0,0
185,42.0,,Perú,39,Premium,12.6,4,3,No,36280.0,0
186,18.0,Femenino,México,27,Básico,14.2,3,4,No,9810.0,0
187,29.0,Masculino,México,49,Estándar,7.7,5,2,No,14970.0,0
188,35.0,Masculino,España,24,Premium,13.5,3,0,No,35060.0,0
189,29.0,Masculino,Chile,47,Estándar,11.9,4,0,No,23820.0,0
190,41.0,Masculino,España,38,Estándar,12.3,1,3,No,20840.0,0
191,31.0,Masculino,España,8,Básico,14.6,1,5,No,12740.0,0
192,33.0,Otro,México,30,Premium,13.0,5,1,Sí,26720.0,0
193,59.0,Femenino,Chile,10,Estándar,13.0,2,1,Sí,23100.0,0
194,37.0,Masculino,Perú,2,Básico,7.4,4,4,Sí,10550.0,1
195,28.0,Femenino,México,48,Básico,10.1,3,1,No,10430.0,0
196,43.0,Masculino,Argentina,40,Premium,12.1,4,2,No,31750.0,0
197,45.0,Femenino,Perú,41,Premium,11.7,1,0,Sí,38080.0,0
198,36.0,Masculino,Chile,53,Básico,19.3,4,0,No,9620.0,0
199,38.0,Masculino,México,5,Premium,10.7,4,1,No,23350.0,0
200,39.0,Femenino,Argentina,42,Básico,9.7,3,4,No,8780.0,1
201,50.0,,España,40,Estándar,13.0,2,1,Sí,20960.0,0
202,40.0,Femenino,España,36,Básico,21.2,2,0,No,10430.0,0
203,38.0,Masculino,Perú,58,Básico,10.3,2,0,No,10160.0,0
204,32.0,Femenino,España,57,Básico,15.8,5,2,Sí,16040.0,1
205,27.0,Otro,México,17,Básico,20.3,2,0,No,8109.999999999999,1
206,30.0,Masculino,Chile,10,Básico,9.1,3,3,No,8770.0,0
207,24.0,Femenino,España,40,Premium,5.8,4,4,No,31540.0,0
208,19.0,Otro,España,32,Básico,5.9,4,2,No,6830.0,0
209,25.0,Masculino,México,38,Premium,4.8,5,1,No,30510.0,0
210,29.0,Otro,España,26,Estándar,10.0,4,0,No,19220.0,0
211,10.0,Femenino,España,11,Estándar,8.1,3,1,No,23280.0,0
212,47.0,Femenino,Chile,28,Premium,3.0,3,5,Sí,24870.0,0
213,25.0,Masculino,Argentina,26,Básico,,4,0,No,10930.0,1
214,22.0,,Perú,29,Premium,10.4,4,3,No,32560.000000000004,0
215,33.0,Femenino,Argentina,27,Estándar,11.3,4,2,No,23050.0,0
216,38.0,Masculino,Chile,18,Estándar,5.3,5,3,Sí,17670.0,0
217,42.0,Femenino,Perú,18,Básico,14.5,1,2,Sí,14720.0,1
218,41.0,,Perú,41,Estándar,10.9,3,2,No,11770.0,0
219,37.0,Femenino,Perú,37,Estándar,9.8,3,2,No,25220.0,0
220,22.0,Masculino,Perú,31,Básico,10.7,3,2,No,8430.0,1
221,21.0,Femenino,México,26,Premium,10.9,3,0,No,30730.0,0
222,33.0,Femenino,Chile,34,Básico,6.4,3,3,No,10790.0,0
223,30.0,Femenino,Argentina,41,Premium,-1.5,2,4,No,22260.0,0
224,41.0,Femenino,Perú,29,Básico,9.8,1,1,No,9460.0,0
225,21.0,Femenino,México,27,Premium,7.0,5,0,No,31280.0,0
226,44.0,,Perú,23,Premium,12.3,1,2,No,29770.0,0
227,34.0,Femenino,Perú,39,Básico,4.7,3,2,No,9770.0,0
228,20.0,Femenino,México,38,Básico,14.0,3,2,No,8590.0,1
229,40.0,Femenino,México,47,Estándar,4.8,4,2,No,15260.0,0
230,30.0,Femenino,Chile,33,Estándar,6.0,3,2,No,19460.0,0
231,52.0,Femenino,Perú,34,Estándar,14.3,4,3,No,20260.0,0
232,42.0,Masculino,México,49,Estándar,3.0,2,1,No,24250.0,0
233,50.0,Masculino,Chile,11,Básico,7.6,5,1,No,8500.0,1
234,47.0,Masculino,Perú,48,Básico,14.4,4,1,Sí,9430.0,0
235,47.0,Femenino,España,20,Básico,13.3,4,1,No,9400.0,1
236,37.0,Femenino,México,5,Estándar,17.0,3,0,Sí,21870.0,0
237,26.0,Otro,Perú,59,Estándar,10.3,3,2,No,15020.0,0
238,39.0,Femenino,Chile,9,Estándar,12.3,1,1,Sí,19690.0,0
239,44.0,Femenino,Chile,19,Estándar,15.3,4,0,No,18970.0,0
240,19.0,Masculino,México,48,Estándar,2.4,3,1,No,16030.000000000002,0
241,35.0,Femenino,Perú,21,Premium,3.3,4,2,No,29940.0,0
242,29.0,Masculino,Chile,43,Premium,5.7,3,2,No,25800.0,0
243,45.0,Masculino,Chile,11,Premium,13.0,2,3,No,27220.0,0
244,33.0,Masculino,Chile,3,Estándar,14.2,4,2,No,24770.0,0
245,25.0,Femenino,Perú,50,Básico,14.2,3,0,No,12660.0,0
246,31.0,Masculino,México,27,Estándar,12.6,4,4,No,19040.0,0
247,50.0,Otro,Chile,3,Básico,10.5,3,3,Sí,13490.0,1
248,17.0,Masculino,Argentina,44,Básico,11.9,3,0,Sí,12880.0,1
249,21.0,Femenino,México,20,Básico,11.0,3,1,Sí,9160.0,1
250,39.0,Otro,Perú,35,Básico,7.3,5,4,Sí,8740.0,1
251,15.0,,México,31,Premium,11.1,3,4,Sí,27000.0,0
252,38.0,Femenino,España,39,Estándar,11.0,3,3,No,19390.0,0
253,39.0,Masculino,Argentina,18,Estándar,13.7,3,3,Sí,20250.0,0
254,37.0,Femenino,Argentina,3,Estándar,8.5,3,5,No,18890.0,0
255,26.0,Masculino,Argentina,34,Premium,5.9,3,3,No,30290.0,0
256,31.0,Masculino,Argentina,25,Estándar,12.4,3,1,No,19900.0,0
257,33.0,Masculino,Perú,31,Estándar,8.7,1,0,No,22190.0,0
258,36.0,Femenino,México,19,Estándar,11.1,5,1,No,10210.0,0
259,39.0,Masculino,México,47,Premium,2.2,3,6,Sí,29220.0,0
260,21.0,Femenino,México,9,Básico,15.7,5,2,No,8320.0,0
261,33.0,Femenino,Argentina,41,Básico,5.0,,3,Sí,9100.0,1
262,51.0,Femenino,Perú,18,Básico,4.7,3,1,Sí,10100.0,0
263,50.0,Femenino,México,32,Básico,8.1,2,1,No,15170.0,0
264,37.0,Femenino,Chile,3,Estándar,12.9,3,0,No,18650.0,0
265,47.0,Masculino,Chile,15,Básico,13.2,2,2,No,10380.0,0
266,40.0,Femenino,México,15,Premium,6.1,3,2,No,34160.0,0
267,21.0,Masculino,Chile,19,Estándar,7.4,1,3,No,20660.0,0
268,,,Argentina,54,Básico,14.7,4,1,No,3540.0,0
269,24.0,,México,38,Básico,7.1,4,3,No,12970.0,1
270,32.0,Masculino,España,5,Premium,7.9,3,3,No,27680.0,0
271,40.0,Femenino,México,48,Básico,7.4,1,1,Sí,10940.0,1
272,23.0,Masculino,Chile,13,Básico,15.0,3,3,No,8180.0,0
273,26.0,Femenino,Argentina,26,Básico,5.9,4,2,No,7220.0,0
274,26.0,Otro,Perú,18,Básico,15.6,3,2,No,11150.0,0
275,12.0,Femenino,Chile,40,Premium,7.7,4,2,No,22710.0,0
276,27.0,Masculino,Argentina,51,Premium,2.4,2,2,No,33270.0,0
277,18.0,,Perú,38,Básico,7.9,4,1,Sí,11950.0,1
278,33.0,Femenino,Perú,1,Estándar,2.8,4,1,No,19640.0,0
279,43.0,Femenino,Chile,25,Estándar,8.4,3,1,No,16620.0,0
280,15.0,,Chile,6,Básico,9.9,4,6,No,8290.0,0
281,42.0,Femenino,Perú,3,Estándar,9.3,5,3,Sí,16050.0,0
282,42.0,Femenino,España,2,Básico,11.5,3,2,Sí,12530.0,1
283,33.0,,España,21,Estándar,9.7,3,2,No,19380.0,0
284,25.0,Femenino,Chile,15,Básico,7.3,4,3,No,9380.0,0
285,30.0,Femenino,México,4,Básico,20.2,4,4,No,11300.0,0
286,28.0,Masculino,México,44,Básico,-2.9,1,3,No,4720.0,1
287,50.0,Femenino,Perú,53,Premium,11.4,2,2,No,22050.0,0
288,45.0,Masculino,Argentina,7,Estándar,12.0,4,1,No,26910.0,0
289,47.0,Masculino,Argentina,46,Estándar,13.2,2,1,No,20100.0,0
290,18.0,Femenino,México,50,Básico,13.2,3,1,No,13480.0,1
291,34.0,Femenino,España,50,Estándar,10.1,5,2,No,18520.0,0
292,42.0,,Argentina,36,Estándar,11.2,3,2,Sí,14840.0,0
293,15.0,Masculino,España,41,Básico,9.7,3,2,No,8450.0,0
294,17.0,,Perú,21,Básico,3.4,4,1,Sí,13430.0,0
295,41.0,Otro,España,59,Estándar,6.2,3,4,No,19500.0,0
296,27.0,Masculino,México,55,Básico,14.7,4,2,No,3600.0,0
297,32.0,Masculino,Perú,34,Básico,10.3,1,3,Sí,15310.0,1
298,61.0,Femenino,Argentina,53,Estándar,11.0,2,2,No,24470.0,0
299,43.0,Masculino,México,13,Básico,11.2,3,4,Sí,9470.0,1
300,45.0,Masculino,España,16,Estándar,9.5,1,0,No,21420.0,0
301,42.0,Masculino,Chile,2,Premium,14.4,5,4,No,28410.0,0
302,47.0,Masculino,España,7,Estándar,6.4,4,0,No,21570.0,0
303,29.0,Femenino,España,8,Estándar,16.3,3,0,No,18380.0,0
304,47.0,Femenino,Chile,47,Básico,11.9,4,3,No,7560.0,0
305,36.0,Femenino,Perú,1,Básico,1.0,5,3,No,10610.0,0
306,22.0,Masculino,Chile,36,Estándar,7.3,2,2,No,20760.0,0
307,33.0,Masculino,Chile,3,Premium,12.1,5,1,No,25830.0,0
308,106.0,Masculino,España,6,Básico,8.4,5,1,No,11490.0,0
309,54.0,Masculino,España,20,Estándar,11.1,3,1,No,19510.0,0
310,67.0,Masculino,México,13,Estándar,17.5,3,2,No,15640.0,0
311,21.0,Femenino,Chile,25,Estándar,9.6,2,0,No,14330.0,0
312,39.0,Femenino,México,4,Estándar,10.1,4,5,No,22860.0,0
313,41.0,Masculino,España,21,Estándar,9.2,,2,Sí,16970.0,0
314,38.0,Femenino,Perú,34,Estándar,16.4,3,3,No,26510.0,0
315,42.0,Masculino,Perú,57,Estándar,10.1,4,1,No,17380.0,0
316,34.0,Masculino,México,58,Estándar,10.3,3,5,Sí,27120.0,0
317,59.0,Masculino,Argentina,54,Estándar,6.5,4,1,Sí,16770.0,0
318,29.0,Masculino,Argentina,39,Premium,10.3,3,1,No,32450.000000000004,0
319,36.0,Femenino,México,58,Estándar,4.9,5,1,Sí,15940.0,0
320,40.0,Femenino,Perú,33,Básico,14.9,3,0,Sí,10540.0,1
321,39.0,Femenino,España,14,Estándar,10.9,,2,No,22390.0,0
322,23.0,Masculino,Perú,6,Estándar,6.4,3,3,No,18960.0,0
323,28.0,Femenino,Argentina,57,Estándar,11.1,1,0,Sí,18240.0,0
324,31.0,Femenino,Perú,9,Básico,10.1,4,1,No,5110.0,1
325,23.0,Femenino,México,34,Básico,7.1,3,4,No,8230.0,0
326,37.0,Femenino,Argentina,44,Básico,16.4,2,3,No,7620.0,1
327,41.0,Femenino,Chile,35,Estándar,7.1,4,1,Sí,19870.0,0
328,23.0,Masculino,España,52,Premium,14.1,2,4,Sí,27600.0,0
329,28.0,Masculino,España,11,Básico,6.1,4,0,Sí,12100.0,1
330,24.0,Masculino,España,10,Básico,15.0,4,0,Sí,10870.0,1
331,29.0,Femenino,Perú,26,Premium,11.2,2,4,Sí,29010.0,0
332,36.0,Masculino,Argentina,31,Estándar,12.8,3,0,No,11490.0,0
333,49.0,Femenino,Perú,19,Estándar,10.3,,1,No,23920.0,0
334,58.0,Masculino,México,30,Estándar,9.8,3,1,No,21930.0,0
335,34.0,Femenino,México,40,Estándar,5.8,3,2,No,18040.0,0
336,35.0,Femenino,Argentina,4,Básico,12.2,3,1,No,11180.0,0
337,25.0,Masculino,Chile,31,Básico,11.1,1,4,Sí,6320.0,1
338,38.0,Femenino,Perú,1,Básico,17.6,5,1,No,12320.0,1
339,46.0,Femenino,México,49,Básico,8.9,4,0,Sí,5680.0,1
340,41.0,Masculino,Argentina,3,Básico,8.9,3,0,No,6620.0,0
341,33.0,Femenino,México,13,Básico,5.6,2,1,No,11050.0,1
342,38.0,Femenino,Perú,26,Premium,12.7,4,1,No,29900.0,0
343,37.0,Femenino,España,43,Básico,8.5,1,2,No,14820.0,0
344,31.0,Masculino,Perú,25,Estándar,17.2,4,4,Sí,21610.0,0
345,16.0,Otro,México,6,Estándar,15.7,3,1,No,20550.0,0
346,15.0,Masculino,España,45,Estándar,16.0,4,0,Sí,20690.0,0
347,36.0,Otro,España,17,Estándar,7.9,3,6,No,12820.0,0
348,45.0,Masculino,Argentina,15,Básico,14.6,3,2,No,9780.0,1
349,51.0,,España,5,Estándar,8.1,,1,No,13180.0,0
350,40.0,Masculino,España,22,Básico,9.6,4,1,Sí,13700.0,0
351,40.0,Femenino,Argentina,12,Básico,12.9,,4,No,10740.0,1
352,22.0,Masculino,España,13,Estándar,13.2,2,0,No,23620.0,0
353,34.0,Masculino,Argentina,31,Básico,7.7,3,4,No,9210.0,0
354,32.0,Masculino,Chile,28,Premium,10.2,2,2,Sí,26400.0,0
355,40.0,Femenino,Perú,19,Básico,7.4,4,2,Sí,10080.0,1
356,45.0,Masculino,Chile,8,Básico,13.9,3,3,No,15670.0,1
357,27.0,Masculino,Chile,28,Premium,13.6,2,1,No,27060.0,0
358,28.0,Masculino,México,44,Básico,4.3,4,4,No,13970.0,1
359,55.0,Masculino,Argentina,25,Premium,14.2,3,2,Sí,30400.0,0
360,51.0,Masculino,Perú,3,Premium,7.7,,4,Sí,28320.0,0
361,41.0,,España,46,Estándar,11.2,3,1,No,18240.0,0
362,22.0,Femenino,Argentina,12,Estándar,17.0,2,0,No,22420.0,0
363,46.0,Femenino,Perú,11,Básico,10.7,3,1,No,11260.0,0
364,39.0,Femenino,Perú,39,Estándar,4.9,4,4,No,21340.0,0
